Year,Mo,Dy,Hr,Mn,Tsu,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,Deaths,Missing,Injuries,Damage ($Mil),Houses Destroyed,Houses Damaged
1962,2,14,6,36,0,CHILE,CHILE:  CENTRAL,-37.8,-72.5,45,7.3,0,0,854,1952.0,5309,75712
1965,2,23,22,11,1,CHILE,CHILE:  NORTHERN,-25.67,-70.63,36,7.0,0,0,854,1952.0,5309,75712
1965,3,22,22,56,1,CHILE,CHILE:  CENTRAL,-31.81,-71.26,58,6.0,0,0,854,1952.0,5309,75712
1965,3,28,16,33,0,CHILE,CHILE:  CENTRAL,-32.4,-71.2,61,7.3,400,0,854,125.0,5309,75712
1965,10,3,16,14,1,CHILE,CHILE:  SOUTHERN,-42.9,-75.13,28,6.5,0,0,854,1952.0,5309,75712
1966,12,28,8,18,1,CHILE,"CHILE:  TALTAL, CATALINA",-25.5,-70.7,47,7.8,3,0,6,0.4,5309,75712
1967,11,15,21,32,1,CHILE,CHILE:  NORTHERN,-28.78,-71.19,35,5.9,0,0,854,1952.0,5309,75712
1967,12,21,2,25,1,CHILE,CHILE:  NORTHERN,-21.7,-69.5,33,7.5,1,0,854,1952.0,5309,75712
1970,6,14,12,28,1,CHILE,CHILE:  SOUTHERN,-52.0,-73.8,10,6.0,0,0,854,1952.0,5309,75712
1970,6,19,10,56,1,CHILE,CHILE:  NORTHERN,-22.28,-70.55,44,6.4,0,0,854,1952.0,5309,75712
1970,11,28,11,8,1,CHILE,CHILE:  NORTHERN,-20.94,-69.81,33,6.0,0,0,854,1952.0,5309,75712
1971,6,17,21,28,0,CHILE,"CHILE:  CATALINA, ANTOFAGASTA",-25.5,-69.2,93,6.3,1,0,854,1952.0,5309,75712
1971,7,9,3,3,1,CHILE,CHILE:  CENTRAL,-32.5,-71.2,58,7.8,83,0,447,236.4,5309,75712
1972,6,8,18,53,1,CHILE,CHILE:  CENTRAL,-30.5,-71.8,39,6.6,0,0,854,1952.0,5309,75712
1972,12,29,4,51,1,CHILE,CHILE:  CENTRAL,-30.6,-71.0,60,5.4,0,0,854,1952.0,5309,75712
1973,10,5,5,47,1,CHILE,"CHILE:  VALPARAISO, LA LIGUA, SANTIAGO",-32.5,-71.5,14,6.7,0,0,854,1952.0,5309,75712
1974,8,18,10,44,1,CHILE,"CHILE:  LA UNION, VALDIVIA",-38.5,-73.4,36,7.1,0,0,854,1952.0,5309,75712
1975,3,13,15,26,1,CHILE,"CHILE:  COQUIMBO, LA SERENA",-29.9,-71.3,4,6.9,2,0,25,1952.0,5309,75712
1975,5,10,14,27,0,CHILE,CHILE:  CENTRAL,-38.18,-73.23,6,7.7,0,0,854,1952.0,5309,75712
1976,11,30,0,40,0,CHILE,"CHILE:  POZO ALMONTE, OFICINA VICTORIA, ARICA",-20.52,-68.92,82,7.3,1,0,13,1952.0,5309,75712
1978,8,3,18,11,0,CHILE,CHILE:  NORTHERN:  COPIAPO-TALTAI,-26.51,-70.54,58,7.0,0,0,13,1952.0,5309,75712
1981,10,16,3,25,0,CHILE,"CHILE:  OFF CENTRAL COAST, LAS CRUCES",-33.134,-73.074,33,7.5,1,0,854,1952.0,5309,75712
